code,company_name,statistical_sales_pattern,statistical_operating_profit_pattern,statistical_gate,revenue_recognition_model,recurring_revenue_importance,lump_sum_revenue_importance,target_quarter_visibility,timing_risk,evidence_summary,evidence_source,evidence_published_at,confidence,missing_information
1418,インターライフ,lumpy,structural_change,low,mixed,medium,medium,none,medium,内装工事・音響照明の大型案件『完工』が増収益要因。一方で保守サービス受注増も記載。受注残・対象1Qの完工予定は非開示。,2026年2月期 決算短信〔日本基準〕(連結); 有価証券報告書 第16期,2026-04-14T16:00:00+09:00,medium,対象1Qの案件別完工・検収予定、受注残、工事別利益寄与
205A,ロゴスHD,limited_history,limited_history,insufficient,project_completion,low,high,none,high,保存済み事業説明は戸建住宅の企画・販売・施工。対象Qの引渡し・検収予定、受注残は確認できない。,Official IR library / investor information（既存snapshot）,,low,引渡し戸数・時期、受注残、完成基準か進行基準かの会計方針
3547,ユニシアHD,stable,stable,high,recurring,high,low,not_applicable,low,保存済み事業説明は教育・保育関連サービス。対象Qの個別案件計上予定は確認できないが、定常サービスとしてのみ確認。,Official IR library / investor information（既存snapshot）,,low,契約形態別売上、季節要因、対象Qの定員・稼働KPI
3558,ジェイドグループ,stable,highly_lumpy,low,recurring,high,low,not_applicable,low,保存済み事業説明はファッションEC・ブランド流通。定常的な日常販売モデルとして確認され、特定案件の検収・引渡しは確認されない。,Official IR library / investor information（既存snapshot）,,low,ブランド別取引条件、在庫・販促施策、対象Qの大型取引有無
3697,SHIFT,stable,stable,high,project_progress,medium,medium,none,medium,保存済み事業説明はソフトウェア品質保証・DX支援。IT案件の稼働・進捗が売上経路として示されるが、対象Qの案件進捗・受注残は非開示。,Official IR library / investor information（既存snapshot）,,low,対象Qの受注残、案件別進捗、準委任・請負別売上構成
2164,地域新聞社,stable,structural_change,medium,unknown,unknown,unknown,unknown,unknown,保存済み事業説明は地域情報誌・販促支援にとどまり、広告掲載・制作・販促支援のどの時点で売上認識するかを確認できない。,Official IR library / investor information（既存snapshot）,,low,契約・掲載・納品時の認識方針、定期掲載売上比率、対象Qの案件予定
2168,パソナグループ,stable,structural_change,medium,recurring,high,low,not_applicable,low,保存済み事業説明は人材サービス・BPO・地方創生。人材・BPOの継続サービス収入を主要経路として確認するが、個別案件の対象Q資料はない。,Official IR library / investor information（既存snapshot）,,low,各事業の売上比率、契約期間、地方創生案件の一括計上有無
2449,プラップジャパン,stable,stable,high,mixed,medium,medium,none,medium,保存済み事業説明はPR・コミュニケーション支援。継続支援とキャンペーン等の個別プロジェクトの重要度・認識時点は確認できない。,Official IR library / investor information（既存snapshot）,,low,リテナー比率、プロジェクト納品・イベント時の売上比率、対象Q案件
4197,アスマーク,limited_history,limited_history,insufficient,unknown,unknown,unknown,unknown,unknown,保存済み事業説明は市場調査・リサーチ支援にとどまり、調査の実施・納品・検収のいずれで売上認識するかを確認できない。,Official IR library / investor information（既存snapshot）,,low,収益認識方針、継続調査比率、対象Qの納品・検収予定
9238,バリュークリエーション,limited_history,limited_history,insufficient,unknown,unknown,unknown,unknown,unknown,保存済み事業説明はマーケティングDX・不動産DX。各事業の定常収益と案件・成果報酬収益の比率および認識時点は確認できない。,Official IR library / investor information（既存snapshot）,,low,事業別収益認識方針、案件・成果報酬比率、対象Qの計上予定
198A,ポストプライム,limited_history,limited_history,insufficient,recurring,high,low,not_applicable,low,保存済み事業説明でサブスクリプションと広告収益によるプラットフォーム収益を確認。対象FYの個別契約・広告案件の時期は不明。,Official IR library / investor information（既存snapshot）,,low,サブスクリプション対広告の比率、広告大型案件、対象QのKPI
2337,いちご,highly_lumpy,lumpy,low,mixed,high,high,none,high,ストック収益+6%とフロー収益+14%、心築資産・レジデンス売却を確認。対象1Qの資産売却・引渡し予定額は非開示で、売却時期を特定できない。,2026年2月期 決算短信〔日本基準〕(連結); FY2026説明資料（既存snapshot）,2026-04-14T15:30:00+09:00,high,対象1Qの売却契約、物件名、引渡し予定日、売却益・フロー収益の四半期計画
244A,グロースエクパートナーズ,limited_history,limited_history,insufficient,project_progress,medium,medium,none,medium,保存済み事業説明はDX・クラウド・ITコンサルティング。案件進捗・稼働が売上経路となり得るが、対象Qの受注・検収時期は確認できない。,Official IR library / investor information（既存snapshot）,,low,準委任・請負比率、受注残、対象Qの案件進捗・検収予定
2484,出前館,stable,structural_trend,medium,recurring,high,low,not_applicable,low,保存済み事業説明はフードデリバリー。注文量・販促・配達経済性が売上・利益の経路であり、特定案件の検収・引渡し型とは確認されない。,Official IR library / investor information（既存snapshot）,,low,対象Qの注文数・販促・手数料KPI、事業別収益認識方針
280A,TMH,limited_history,limited_history,insufficient,unknown,unknown,unknown,unknown,unknown,保存済み事業説明は半導体製造装置・部材の循環型ソリューションにとどまり、装置・部材の納品／検収時点で認識するか、継続取引比率は確認できない。,Official IR library / investor information（既存snapshot）,,low,収益認識方針、受注残、対象Qの納品・検収予定、継続取引比率
