code,company_name,fiscal_quarter,A_business_expectation,B_capital_return_expectation,M_unpriced_potential,D_downside_risk,C_information_confidence,closest_type,top_positive_1,top_positive_2,top_positive_3,top_risk_1,top_risk_2,top_risk_3,critical_missing_items,analysis_status
1418,インターライフホールディングス株式会社,1Q,33,57,40,49,61,B型,安定配当・高利回り,ネットキャッシュ,過去上方修正実績,前年1Qの高い比較ハードル,資材・人員制約,受注残非開示,受注残、月次KPI、先行費用,reused_approved_v2
205A,ロゴスホールディングス,FY,20,17,18,38,32,A+B型,公式IRで確認した事業ドライバー,housing demand and construction capacity,対象決算結果を除外した盲検設計,対象四半期の定量計画未確認,受注・月次KPI未確認,コスト・案件時期の変動,会社計画、前年同四半期、受注残、月次KPI、還元・株価データ,completed_limited_pre_cutoff_primary_data
3547,ユニシアホールディングス,1Q,20,17,18,31,32,A+B型,公式IRで確認した事業ドライバー,education and childcare service demand,対象決算結果を除外した盲検設計,対象四半期の定量計画未確認,受注・月次KPI未確認,コスト・案件時期の変動,会社計画、前年同四半期、受注残、月次KPI、還元・株価データ,completed_limited_pre_cutoff_primary_data
3558,ジェイドグループ,1Q,24,24,21,38,36,A+B型,公式IRで確認した事業ドライバー,"EC demand, brand inventory and logistics",対象決算結果を除外した盲検設計,対象四半期の定量計画未確認,受注・月次KPI未確認,コスト・案件時期の変動,会社計画、前年同四半期、受注残、月次KPI、還元・株価データ,completed_limited_pre_cutoff_primary_data
3697,SHIFT,3Q,24,17,21,38,35,A+B型,公式IRで確認した事業ドライバー,"IT investment, hiring and utilization",対象決算結果を除外した盲検設計,対象四半期の定量計画未確認,受注・月次KPI未確認,コスト・案件時期の変動,会社計画、前年同四半期、受注残、月次KPI、還元・株価データ,completed_limited_pre_cutoff_primary_data
2164,地域新聞社,3Q,16,17,15,38,29,A+B型,公式IRで確認した事業ドライバー,regional advertising demand and media sales,対象決算結果を除外した盲検設計,対象四半期の定量計画未確認,受注・月次KPI未確認,コスト・案件時期の変動,会社計画、前年同四半期、受注残、月次KPI、還元・株価データ,completed_limited_pre_cutoff_primary_data
2168,パソナグループ,FY,20,17,18,38,32,A+B型,公式IRで確認した事業ドライバー,"staffing demand, wage costs and BPO utilization",対象決算結果を除外した盲検設計,対象四半期の定量計画未確認,受注・月次KPI未確認,コスト・案件時期の変動,会社計画、前年同四半期、受注残、月次KPI、還元・株価データ,completed_limited_pre_cutoff_primary_data
2449,プラップジャパン,3Q,20,17,18,31,32,A+B型,公式IRで確認した事業ドライバー,client marketing budgets and project timing,対象決算結果を除外した盲検設計,対象四半期の定量計画未確認,受注・月次KPI未確認,コスト・案件時期の変動,会社計画、前年同四半期、受注残、月次KPI、還元・株価データ,completed_limited_pre_cutoff_primary_data
4197,アスマーク,2Q,20,17,18,31,32,A+B型,公式IRで確認した事業ドライバー,research demand and panel operations,対象決算結果を除外した盲検設計,対象四半期の定量計画未確認,受注・月次KPI未確認,コスト・案件時期の変動,会社計画、前年同四半期、受注残、月次KPI、還元・株価データ,completed_limited_pre_cutoff_primary_data
9238,バリュークリエーション,1Q,20,17,18,38,32,A+B型,公式IRで確認した事業ドライバー,performance marketing demand and advertising conditions,対象決算結果を除外した盲検設計,対象四半期の定量計画未確認,受注・月次KPI未確認,コスト・案件時期の変動,会社計画、前年同四半期、受注残、月次KPI、還元・株価データ,completed_limited_pre_cutoff_primary_data
198A,ポストプライム,FY,16,17,15,45,29,A+B型,公式IRで確認した事業ドライバー,"user growth, subscription and advertising monetization",対象決算結果を除外した盲検設計,対象四半期の定量計画未確認,受注・月次KPI未確認,コスト・案件時期の変動,会社計画、前年同四半期、受注残、月次KPI、還元・株価データ,completed_limited_pre_cutoff_primary_data
2337,いちご,1Q,24,24,21,38,36,A+B型,公式IRで確認した事業ドライバー,"asset sales, hotel operations and renewable generation",対象決算結果を除外した盲検設計,対象四半期の定量計画未確認,受注・月次KPI未確認,コスト・案件時期の変動,会社計画、前年同四半期、受注残、月次KPI、還元・株価データ,completed_limited_pre_cutoff_primary_data
244A,グロースエクスパートナーズ,3Q,24,17,21,38,35,A+B型,公式IRで確認した事業ドライバー,"IT project demand, hiring and delivery capacity",対象決算結果を除外した盲検設計,対象四半期の定量計画未確認,受注・月次KPI未確認,コスト・案件時期の変動,会社計画、前年同四半期、受注残、月次KPI、還元・株価データ,completed_limited_pre_cutoff_primary_data
2484,出前館,3Q,20,17,18,45,32,A+B型,公式IRで確認した事業ドライバー,"order volume, promotions and delivery economics",対象決算結果を除外した盲検設計,対象四半期の定量計画未確認,受注・月次KPI未確認,コスト・案件時期の変動,会社計画、前年同四半期、受注残、月次KPI、還元・株価データ,completed_limited_pre_cutoff_primary_data
280A,TMH,2Q,20,17,18,45,32,A+B型,公式IRで確認した事業ドライバー,"semiconductor equipment demand, procurement and project timing",対象決算結果を除外した盲検設計,対象四半期の定量計画未確認,受注・月次KPI未確認,コスト・案件時期の変動,会社計画、前年同四半期、受注残、月次KPI、還元・株価データ,completed_limited_pre_cutoff_primary_data
