code,company_name,A_raw,B_raw,M_raw,D_raw,C_raw,sales_pattern,operating_profit_pattern,statistical_gate,revenue_recognition_model,target_quarter_visibility,timing_risk,historical_q_signal_weight,target_specific_evidence_required,earnings_route_status,overlay_reason,missing_information,score_source_path,score_source_version,score_source_sha256,score_source_priority
1418,インターライフホールディングス株式会社,33,57,40,49,61,lumpy,structural_change,low,mixed,none,medium,reduced,yes,conditional,営業利益パターンが高度に不規則または構造変化で、対象Q固有の裏付けを要する。,対象1Qの案件別完工・検収予定、受注残、工事別利益寄与,output/pilot_score_1418_2026-07-15.json,explicit_latest_individual,9c2e579071e6b81fd79e765e859117c86d5c310e6c2ec857a6546b63b5448afa,1_explicit_latest_individual
198A,ポストプライム,16,17,15,45,29,limited_history,limited_history,insufficient,recurring,not_applicable,low,unknown,unknown,insufficient,計上タイミングまたは必要履歴が不足し、Aの業績ルート可否を判定できない。,サブスクリプション対広告の比率、広告大型案件、対象QのKPI,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback
205A,ロゴスホールディングス,20,17,18,38,32,limited_history,limited_history,insufficient,project_completion,none,high,zero,yes,blocked,high riskかつ対象Q可視性なし。過去Qパターンを対象QのA根拠に使わない。,引渡し戸数・時期、受注残、完成基準か進行基準かの会計方針,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback
2164,地域新聞社,16,17,15,38,29,stable,structural_change,medium,unknown,unknown,unknown,unknown,unknown,insufficient,計上タイミングまたは必要履歴が不足し、Aの業績ルート可否を判定できない。,契約・掲載・納品時の認識方針、定期掲載売上比率、対象Qの案件予定,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback
2168,パソナグループ,20,17,18,38,32,stable,structural_change,medium,recurring,not_applicable,low,reduced,yes,conditional,営業利益パターンが高度に不規則または構造変化で、対象Q固有の裏付けを要する。,各事業の売上比率、契約期間、地方創生案件の一括計上有無,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback
2337,いちご株式会社,47,75,43,53,77,highly_lumpy,lumpy,low,mixed,none,high,zero,yes,blocked,high riskかつ対象Q可視性なし。過去Qパターンを対象QのA根拠に使わない。,対象1Qの売却契約、物件名、引渡し予定日、売却益・フロー収益の四半期計画,output/pilot_score_2337_2026-07-15.json,explicit_latest_individual,24493feb0eea2429e237d0c05657bb79dcbde9d618e8d13ee291cd0ac9f158ec,1_explicit_latest_individual
2449,プラップジャパン,20,17,18,31,32,stable,stable,high,mixed,none,medium,reduced,yes,conditional,medium riskかつ対象Q可視性なし。過去Qは補助情報に限定する。,リテナー比率、プロジェクト納品・イベント時の売上比率、対象Q案件,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback
244A,グロースエクスパートナーズ,24,17,21,38,35,limited_history,limited_history,insufficient,project_progress,none,medium,reduced,yes,conditional,medium riskかつ対象Q可視性なし。過去Qは補助情報に限定する。,準委任・請負比率、受注残、対象Qの案件進捗・検収予定,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback
2484,出前館,20,17,18,45,32,stable,structural_trend,medium,recurring,not_applicable,low,full,no,usable,低い計上タイミングリスクと安定的な売上・利益パターンが確認できる。,対象Qの注文数・販促・手数料KPI、事業別収益認識方針,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback
280A,TMH,20,17,18,45,32,limited_history,limited_history,insufficient,unknown,unknown,unknown,unknown,unknown,insufficient,計上タイミングまたは必要履歴が不足し、Aの業績ルート可否を判定できない。,収益認識方針、受注残、対象Qの納品・検収予定、継続取引比率,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback
